YEAR,STATE_CODE,race,MEM_,OSS_,pct_
1974,ID,BL,245,5,2
1974,ID,HI,2775,50,2
1974,ID,HP,0,0,
1974,ID,MR,0,0,
1974,ID,WH,58545,575,1
1974,ID,total,63295,660,1
1974,IL,AI,1830,15,1
1974,IL,AS,8150,20,0
1974,IL,BL,385735,8590,2
1974,IL,HI,79610,790,1
1974,IL,HP,0,0,
1974,IL,MR,0,0,
1974,IL,WH,540125,17590,3
1974,IL,total,1015455,27005,3
1974,IN,AI,845,0,
1974,IN,AS,955,10,1
1974,IN,BL,102010,10550,10
1974,IN,HI,10995,780,7
1974,IN,HP,0,0,
1974,IN,MR,0,0,
1974,IN,WH,340420,13300,4
1974,IN,total,455225,24640,5
1974,KS,AI,1255,40,3
1974,KS,AS,1075,20,2
1974,KS,BL,27820,3905,14
1974,KS,HI,4935,285,6
1974,KS,HP,0,0,
1974,KS,MR,0,0,
1974,KS,WH,155515,6315,4
1974,KS,total,190600,10565,6
1974,KY,AI,490,0,
1974,KY,AS,640,5,1
1974,KY,BL,48450,3380,7
1974,KY,HI,370,0,
1974,KY,HP,0,0,
1974,KY,MR,0,0,
1974,KY,WH,243690,6960,3
1974,KY,total,293640,10350,4
1974,LA,AI,2780,55,2
1974,LA,AS,835,20,2
1974,LA,BL,339435,43125,13
1974,LA,HI,5125,360,7
1974,LA,HP,0,0,
1974,LA,MR,0,0,
1974,LA,WH,489865,34805,7
1974,LA,total,838035,78365,9
1974,MA,AI,255,5,2
1974,MA,AS,3350,30,1
1974,MA,BL,48655,3540,7
1974,MA,HI,16450,660,4
1974,MA,HP,0,0,
1974,MA,MR,0,0,
1974,MA,WH,363775,17380,5
1974,MA,total,432490,21620,5
1974,MD,AI,1025,60,6
1974,MD,AS,6035,35,1
1974,MD,BL,229690,18835,8
1974,MD,HI,4110,100,2
1974,MD,HP,0,0,
1974,MD,MR,0,0,
1974,MD,WH,580100,26115,5
1974,MD,total,820965,45145,5
1974,ME,AI,45,0,
1974,ME,AS,40,0,
1974,ME,BL,55,0,
1974,ME,HI,15,0,
1974,ME,HP,0,0,
1974,ME,MR,0,0,
1974,ME,WH,15515,380,2
1974,ME,total,15670,385,2
1974,MI,AI,2980,120,4
1974,MI,AS,2420,20,1
1974,MI,BL,273550,20635,8
1974,MI,HI,17500,1095,6
1974,MI,HP,0,0,
1974,MI,MR,0,0,
1974,MI,WH,529240,25665,5
1974,MI,total,825690,47535,6
1974,MN,AI,6535,270,4
1974,MN,AS,1240,40,3
1974,MN,BL,11120,1010,9
1974,MN,HI,2720,120,4
1974,MN,HP,0,0,
1974,MN,MR,0,0,
1974,MN,WH,263715,8415,3
1974,MN,total,285330,9860,3
1974,MO,AI,1295,25,2
1974,MO,AS,1330,10,1
1974,MO,BL,125560,6975,6
1974,MO,HI,3790,120,3
1974,MO,HP,0,0,
1974,MO,MR,0,0,
1974,MO,WH,306755,10340,3
1974,MO,total,438735,17470,4
1974,MS,AI,265,5,2
1974,MS,AS,425,0,
1974,MS,BL,249380,11405,5
1974,MS,HI,470,15,3
1974,MS,HP,0,0,
1974,MS,MR,0,0,
1974,MS,WH,239325,6795,3
1974,MS,total,489860,18220,4
1974,MT,AI,2085,35,2
1974,MT,AS,165,0,
